Title,Year,Rating,Budget,Revenue,Profit,Runtime,genres,production_companies,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Romance,Scifi,Thriller,War,pixaranimationstudios,warnerbros,paramountpictures,columbiapictures,metrogoldwynmayer,universalpictures,lucasfilm,waltdisneypictures,marvelstudios,dccomics
The Expendables 3,2014,6.1,90000000,206172544,116172544,127,"Action,Adventure,Thriller","Davis-Films,Nu Image Films,LionsGate,Millennium Films,Ex3 Productions,Fipex Holding",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Need for Speed,2014,6.1,66000000,203277636,137277636,130,"Action,Crime,Drama,Thriller","DreamWorks SKG,Reliance Entertainment,Bandito Brothers,Touchstone Pictures,Electronic Arts,Revolution Sun Studios",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Other Woman,2014,6.2,40000000,196781193,156781193,109,"Comedy,Romance","Twentieth Century Fox Film Corporation,LBI Productions",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Equalizer,2014,7.1,55000000,192330738,137330738,132,"Thriller,Action,Crime","Columbia Pictures,Village Roadshow Pictures,Escape Artists,Mace Neufeld Productions,LStar Capital,Lonetree Entertainment",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22 Jump Street,2014,7,50000000,188441614,138441614,112,"Crime,Comedy,Action","Columbia Pictures,Original Film,Media Rights Capital,Metro-Goldwyn-Mayer (MGM),Cannell Studios,LStar Capital,33andOut Productions,JHF Productions",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Grand Budapest Hotel,2014,8,30000000,174600318,144600318,99,"Comedy,Drama","Fox Searchlight Pictures,Scott Rudin Productions,Studio Babelsberg,Indian Paintbrush,TSG Entertainment,American Empirical Pictures",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumb and Dumber To,2014,5.4,40000000,169837010,129837010,110,Comedy,"New Line Cinema,Universal Pictures,Conundrum Entertainment,Red Granite Pictures",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unbroken,2014,7.3,65000000,163442937,98442937,137,"Drama,War","Legendary Pictures,3 Arts Entertainment,Jolie Pas",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Into the Storm,2014,5.8,50000000,160602194,110602194,89,"Action,Thriller","New Line Cinema,Village Roadshow Pictures,Broken Road Productions,RatPac-Dune Entertainment",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Monuments Men,2014,5.8,70000000,154984035,84984035,118,"War,Drama,History,Action","Columbia Pictures,Studio Babelsberg,Fox 2000 Pictures,Smokehouse Pictures,Obelisk Productions",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Ride Along,2014,6.1,25000000,153997819,128997819,99,"Action,Comedy","Universal Pictures,Rainforest Films,Cube Vision,Relativity Media",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Planes: Fire & Rescue,2014,5.8,50000000,151165787,101165787,83,"Animation,Comedy,Adventure,Family","Walt Disney Pictures,DisneyToon Studios,Prana Studios,Prana Animation Studios",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Let's Be Cops,2014,6.4,17000000,136621271,119621271,104,Comedy,"Twentieth Century Fox Film Corporation,WideAwake,Genre Films",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie,2014,6,65000000,133821816,68821816,119,"Comedy,Drama,Family","Columbia Pictures,Olive Bridge Entertainment,Sony Pictures Entertainment (SPE),Overbrook Entertainment,Marcy Media",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lucy,2014,6.3,40000000,126546825,86546825,89,"Action,Scifi","Universal Pictures,TF1 Films Production,Canal+,EuropaCorp,Cinթ+",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sex Tape,2014,5.2,40000000,126069509,86069509,97,Comedy,"Escape Artists,Media Rights Capital,Sony Pictures Entertainment (SPE),LStar Capital",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Theory of Everything,2014,7.8,15000000,123726688,108726688,123,"Drama,Romance",Working Title Films,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blended,2014,6.6,40000000,123494610,83494610,117,Comedy,"Happy Madison Productions,Karz Entertainment,Warner Bros.,Gulfstream Pictures",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pompeii,2014,5.2,130000000,117831631,-12168369,105,"Action,Adventure,History,Romance,Drama","Impact Pictures,TriStar Pictures,Don Carmody Productions,FilmDistrict,Constantin Film International",1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seventh Son,2014,5.2,95000000,114178613,19178613,102,"Adventure,Fantasy","Legendary Pictures,Thunder Road Pictures,Outlaw Sinema,Moving Picture Company (MPC),Pendle Mountain Productions,China Film Co.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Purge: Anarchy,2014,6.6,9000000,108782847,99782847,104,"Horror,Thriller","Universal Pictures,Why Not Productions,Platinum Dunes,Blumhouse Productions,5150 Action",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Boxtrolls,2014,6.6,60000000,108255770,48255770,97,"Animation,Comedy,Family,Fantasy",Laika Entertainment,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horrible Bosses 2,2014,6.1,42000000,107670357,65670357,108,Comedy,"New Line Cinema,BenderSpink,RatPac Entertainment",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouija,2014,4.9,5000000,103590271,98590271,89,Horror,"Universal Pictures,Dentsu Inc.,Platinum Dunes,Media Rights Capital,Blumhouse Productions,Fuji Television Network,Hasbro Studios,5150 Action,White Noise Factory",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Birdman,2014,7.4,18000000,103215094,85215094,119,"Drama,Comedy","Worldview Entertainment,New Regency Pictures,TSG Entertainment,Le Grisbi Productions,M Productions",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transcendence,2014,5.9,100000000,103039258,3039258,119,"Thriller,Scifi,Drama,Mystery","Alcon Entertainment,Syncopy,DMG Entertainment,Straight Up Films",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Heaven is for Real,2014,6.1,12000000,101332962,89332962,99,Drama,"TriStar Pictures,Screen Gems,Roth Films",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.1,28000000,100654149,72654149,81,"Family,Comedy","Walt Disney Pictures,21 Laps Entertainment,Jim Henson Company, The",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tammy,2014,5,20000000,100525432,80525432,97,Comedy,"New Line Cinema,Gary Sanchez Productions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Book of Life,2014,7.3,50000000,97437106,47437106,95,"Romance,Animation,Adventure,Comedy,Family,Fantasy","Twentieth Century Fox Film Corporation,Reel FX Creative Studios,Twentieth Century Fox Animation,Chatrone",0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hundred-Foot Journey,2014,7.3,22000000,88880821,66880821,122,Drama,"Amblin Entertainment,Harpo Films,Participant Media,Imagenation Abu Dhabi FZ,Reliance Entertainment,Touchstone Pictures,DreamWorks Studios",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wick,2014,7,20000000,88761661,68761661,101,"Action,Thriller","Summit Entertainment,Warner Bros.,87Eleven,DefyNite Films,MJW Films",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Paranormal Activity: The Marked Ones,2014,5.2,5000000,86362372,81362372,84,"Horror,Thriller","Blumhouse Productions,Room 101,Solana Films",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Step Up All In,2014,6.7,45000000,86165646,41165646,112,"Romance,Drama,Music","Summit Entertainment,Offspring Entertainment",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Judge,2014,7.2,50000000,83719388,33719388,141,Drama,"Village Roadshow Pictures,Warner Bros.,Big Kid Pictures,Team Downey",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Muppets Most Wanted,2014,6.2,50000000,80383290,30383290,112,"Comedy,Adventure,Crime,Family","Buena Vista,Disney",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If I Stay,2014,7.3,11000000,78874843,67874843,106,Drama,"New Line Cinema,Metro-Goldwyn-Mayer (MGM)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I, Frankenstein",2014,5.1,65000000,71154592,6154592,92,"Horror,Thriller","Lakeshore Entertainment,Sidney Kimmel Entertainment,Lionsgate,Hopscotch Films",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Think Like a Man Too,2014,6.3,24000000,70181428,46181428,105,"Comedy,Romance",Will Packer Productions,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick Mansions,2014,5.7,28000000,68896829,40896829,90,"Action,Crime,Drama","Canal+,EuropaCorp,Cinթ+,D8",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey Boys,2014,6.8,40000000,67347013,27347013,134,"Music,Drama",Warner Bros.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Giver,2014,6.4,25000000,66980456,41980456,94,"Drama,Scifi","The Weinstein Company,Walden Media,Tonik Productions,Asis Productions",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Selma,2014,7.4,20000000,66787908,46787908,127,"History,Drama","Plan B Entertainment,Harpo Films,Celador Films,Cloud Eight Films,Pathթ",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Hercules,2014,4.4,70000000,61279452,-8720548,99,"Action,Adventure",Millennium Films,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent,2014,7.1,13000000,54837234,41837234,102,Comedy,"The Weinstein Company,Crescendo Productions,Chernin Entertainment,Goldenlight Films",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Good Deed,2014,5.6,13200000,53830415,40630415,83,"Crime,Thriller",Will Packer Productions,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Walk Among the Tombstones,2014,6.2,28000000,53181600,25181600,113,"Crime,Drama,Mystery,Thriller","Double Feature Films,Jersey Films,1984 Private Defense Contractors,Cross Creek Pictures,Exclusive Media Group,Traveling Picture Show Company (TPSC),Free State Pictures,Da Vinci Media Ventures",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3 Days to Kill,2014,6,28000000,52597999,24597999,113,"Action,Drama,Thriller,Crime","Wonderland Sound and Vision,EuropaCorp,Relativity Media,3DTK,Feelgood Entertainment,Paradise/MGN",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wild,2014,7,15000000,52501541,37501541,115,Drama,"Fox Searchlight Pictures,Pacific Standard,bob industries",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magic in the Moonlight,2014,6.5,16800000,51029361,34229361,97,"Comedy,Drama,Romance","Perdido Productions,Harbor Picture Company",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Ryan: Shadow Recruit,2014,5.9,60000000,50549107,-9450893,105,"Action,Drama,Thriller","Paramount Pictures,Di Bonaventura Pictures,Mace Neufeld Productions,Skydance Productions,Etalon film,Buckaroo Entertainment",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Beauty and the Beast,2014,5.8,33000000,49100000,16100000,112,"Fantasy,Romance","Canal Plus,Studio Babelsberg,Eskwad,TF1 Films Production,TMC,Pathթ,120 Films,TF1,Cinթ+",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
About Last Night,2014,6,12500000,49002684,36502684,100,"Comedy,Romance","Screen Gems, Inc.,Rainforest Films,Olive Bridge Entertainment",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chef,2014,7.2,11000000,45967935,34967935,114,Comedy,"Prescience,Fairview Entertainment,Altus Media",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earth to Echo,2014,5.7,13000000,45300000,32300000,89,"Family,Adventure,Scifi","Walt Disney Studios Motion Pictures,Panay Films",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boyhood,2014,7.5,4000000,44349000,40349000,164,Drama,"IFC Films,Detour Filmproduction",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Still Alice,2014,7.5,5000000,43884652,38884652,99,Drama,"Killer Films,Big Indie Pictures,Backup Media,BSM Studio",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Salvation,2014,6.2,10500000,42070000,31570000,100,"Drama,Western","Zentropa Productions,Spier Films,Forward Films",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Is Where I Leave You,2014,6.5,19800000,41296320,21496320,103,"Drama,Comedy","Spring Creek Productions,21 Laps Entertainment,Warner Bros.",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"As Above, So Below",2014,6.1,5000000,40100000,35100000,93,"Horror,Thriller","Universal Pictures,Legendary Pictures,Brothers Dowdle Productions",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sin City: A Dame to Kill For,2014,6.3,65000000,39407616,-25592384,102,"Crime,Thriller","Miramax Films,Troublemaker Studios,AR Films,Aldamisa Entertainment,Demarest Films,Solipsist Film,Residaco",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Gambler,2014,5.7,25000000,39171130,14171130,111,"Thriller,Crime,Drama","Paramount Pictures,Closest to the Hole Productions,Leverage Entertainment,Chartoff-Winkler Productions",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Nightcrawler,2014,7.6,8500000,38697217,30197217,117,"Crime,Drama,Thriller","Bold Films,Sierra / Affinity",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Million Dollar Arm,2014,6.6,25000000,38307627,13307627,124,Drama,Walt Disney Pictures,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Devil's Due,2014,4.4,7000000,36433975,29433975,89,Horror,"Twentieth Century Fox Film Corporation,Davis Entertainment,TSG Entertainment",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Best of Me,2014,7.2,26000000,35926213,9926213,117,"Drama,Romance",Relativity Media,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Endless Love,2014,6.7,20000000,34077920,14077920,103,"Drama,Romance","Universal Pictures,Fake Empire,Bluegrass Films",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The November Man,2014,6,15000000,32556119,17556119,108,"Crime,Action,Thriller","Irish Dreamtime,Relativity Media,SPD Films",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Most Wanted Man,2014,6.5,15000000,31554855,16554855,121,Thriller,"Senator Film Produktion,Lionsgate,FilmNation Entertainment,Film4,Demarest Films,The Ink Factory,Potboiler Productions,Amusement Park Films",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Winter's Tale,2014,6,60000000,30800231,-29199769,118,"Drama,Fantasy,Mystery,Romance","Village Roadshow Pictures,Weed Road Pictures,Warner Bros.",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
When the Game Stands Tall,2014,6.3,15000000,30127963,15127963,115,Drama,"Mandalay Pictures,Affirm Films",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God's Not Dead,2014,5.9,17000000,29789000,12789000,113,Drama,Pure Flix Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Eyes,2014,6.8,10000000,28883511,18883511,105,Drama,"The Weinstein Company,Silverwood Films,Electric City Entertainment,Tim Burton Productions",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draft Day,2014,6.5,25000000,28831145,3831145,109,Drama,"Summit Entertainment,Lionsgate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Woman in Black 2: Angel of Death,2014,5,1000000,26501323,25501323,90,"Thriller,Horror,Drama","Vertigo Entertainment,Hammer Film Productions,Alliance Films,Talisman Productions,Exclusive Media Group,Da Vinci Media Ventures",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
That Awkward Moment,2014,6.1,8000000,26049082,18049082,94,"Comedy,Romance",Treehouse Pictures,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
And So It Goes,2014,5.7,18000000,25312387,7312387,94,"Comedy,Drama,Romance","Castle Rock Entertainment,Envision Entertainment,ASIG Productions",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black or White,2014,6.5,9000000,21571189,12571189,121,Drama,Treehouse Pictures,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,2014,6.4,12000000,21026290,9026290,106,Drama,"SND,WY Productions,Hթrodiade,Umedia,Vթrtigo Films",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Behind,2014,3.7,16000000,19682924,3682924,110,"Thriller,Action,Scifi",Stoney Lake Entertainment,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Drop,2014,6.7,12600000,19054534,6454534,106,"Drama,Crime","Fox Searchlight Pictures,Chernin Entertainment",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Quiet Ones,2014,5.1,200000,17834867,17634867,98,Horror,"Hammer Film Productions,Exclusive Media Group,Travelling Picture Show Company",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabotage,2014,5.5,35000000,17508518,-17491482,110,"Action,Drama,Thriller,Crime","Open Road Films,QED International,Albert S. Ruddy Productions,Crave Films,Roth Films",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Water Diviner,2014,6.8,22500000,15520023,-6979977,112,"War,Drama","Hopscotch Features,Fear of God Films",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Before I Go to Sleep,2014,6.2,22000000,15447154,-6552846,92,"Mystery,Thriller","StudioCanal,Scott Free Productions,Millennium Films,Film i V�_st,Filmgate Films,Clarius Entertainment",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beyond the Lights,2014,7,7000000,14618727,7618727,116,"Romance,Drama","Relativity Media,Homegrown Pictures,Black Entertainment Television (BET),Relativity Sports,Undisputed Cinema",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pyramid,2014,4.6,6500000,13865435,7365435,89,Horror,"Fox International Productions,Sahara Productions,Silvatar Media",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiplash,2014,8.3,3300000,13092000,9792000,105,Drama,"Bold Films,Blumhouse Productions,Right of Way Films",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Interview,2014,6.1,44000000,12342632,-31657368,112,"Action,Comedy","Columbia Pictures,Point Grey Pictures",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Foxcatcher,2014,6.5,24000000,12096300,-11903700,134,"Drama,Thriller","Likely Story,Media Rights Capital,Annapurna Pictures",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Most Violent Year,2014,6.5,20000000,12007070,-7992930,125,"Crime,Drama,Thriller","Participant Media,Imagenation Abu Dhabi FZ,FilmNation Entertainment,Before the Door Pictures,Washington Square Films,A24,Old Bull Pictures",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inherent Vice,2014,6.5,20000000,11110975,-8889025,148,"Comedy,Romance,Crime,Drama,Mystery","Ghoulardi Film Company,Warner Bros.,IAC Films",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Moms' Night Out,2014,5.5,5000000,10429707,5429707,98,Comedy,"TriStar Pictures,Provident Films,Pure Flix Entertainment,Affirm Films,FourBoys Entertainment",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Loft,2014,6.4,14000000,10076790,-3923210,108,Thriller,"Dark Castle Entertainment,Anonymous Content,Open Road Films",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suite Fran�_aise,2014,7.1,15000000,9104716,-5895284,107,"Drama,Romance,War","Qwerty Films,Alliance Films,Canal+,TF1 Droits Audiovisuels,Scope Pictures",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Big Game,2014,5.3,8500000,7500000,-1000000,90,"Action,Adventure,Thriller","Head Gear Films,Altitude Film Entertainment,Film House Germany,Metrol Technology,Ketchup Entertainment,Egoli Tossell Film,Bavaria Film Partners,Subzero Film Entertainment,VisionPlus Fund I,Waterstone Entertainment",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Green Inferno,2014,5,5000000,6833445,1833445,100,"Action,Adventure,Horror,Thriller","Worldview Entertainment,Dragonfly Entertainment,Sobras International Pictures,Top Hat Releasing,BH Tilt",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Babadook,2014,6.5,2000000,6676471,4676471,93,"Drama,Thriller,Horror","South Australian Film Corporation,Screen Australia,Smoking Gun Productions,Causeway Films",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wish I Was Here,2014,6.4,5500000,5483299,-16701,120,"Drama,Comedy","Double Feature Films,Wild Bunch,Worldview Entertainment",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under the Skin,2014,6,13300000,5380251,-7919749,108,"Thriller,Scifi,Drama","Scottish Screen,UK Film Council,FilmNation Entertainment,Nick Wechsler Productions,Creative Scotland,British Film Institute,Film4,Silver Reel,JW Films,A24",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Justice League: War,2014,7,3500000,5155325,1655325,79,Animation,"DC Comics,Warner Bros. Animation,DC Entertainment",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Locke,2014,6.9,2000000,4635300,2635300,85,"Drama,Thriller","IM Global,Shoebox Films,A24",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Escobar: Paradise Lost,2014,6.1,17000000,3758328,-13241672,120,"Thriller,Romance","Nexus Factory,uFilm,Jaguar Films,Umedia,Chapter 2,Roxbury",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mommy,2014,8.2,4900000,3494070,-1405930,138,Drama,"Tթlթfilm Canada,Super �_cran,SODEC,Metafilms",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica Mars,2014,6.5,6000000,3485127,-2514873,107,"Comedy,Drama,Crime","Warner Bros.,Warner Bros. Interactive Entertainment,Rob Thomas Productions,Spondoolie Productions,WARNER BROS DIGITAL DISTRIBUTION,In The Groove",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Homesman,2014,6.4,16000000,3442853,-12557147,122,"Western,Drama","The Javelina Film Company,EuropaCorp,Ithaca Pictures",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Grand Seduction,2014,6.7,12700000,3430018,-9269982,112,Comedy,"Max Films Productions,Morag Loves Company",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Predestination,2014,7.3,5500000,3000000,-2500000,97,"Scifi,Thriller","Screen Australia,Screen Queensland,Blacklab Entertainment,Wolfhound Pictures",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Raid 2,2014,7.6,4500000,2627209,-1872791,150,"Action,Crime,Thriller","Pt. Merantau Films,XYZ Films",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kill the Messenger,2014,6.6,5000000,2450846,-2549154,112,"Thriller,Crime,Drama,Mystery","The Combine,Bluegrass Films",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Guest,2014,6.5,5000000,2367161,-2632839,99,"Mystery,Thriller,Action","HanWay Films,Snoot Entertainment",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
